id,author,chapter,class_name,creation_time_stamp,edit_time_stamp,folder,question_text,subject
11239,ncert12maths,Relations and Functions,12,16-08-2021 4.48,16-08-2021 4.48,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow><mo>=</mo>&nbsp;<mo fence=""false"" stretchy=""false"">{</mo>&nbsp;<mn>1</mn>&nbsp;<mo>,</mo>&nbsp;<mn>2</mn>&nbsp;<mo>,</mo>&nbsp;<mn>3</mn>&nbsp;<mo fence=""false"" stretchy=""false"">}</mo>&nbsp;</math>&nbsp;and consider the relation</p><p><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""block""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow><mo>=</mo>&nbsp;<mo fence=""false"" stretchy=""false"">{</mo>&nbsp;<mn>1</mn>&nbsp;<mo>,</mo>&nbsp;<mn>1</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>,</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>2</mn>&nbsp;<mo>,</mo>&nbsp;<mn>2</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>,</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mo>,</mo>&nbsp;<mn>3</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>,</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>1</mn>&nbsp;<mo>,</mo>&nbsp;<mn>2</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>,</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>2</mn>&nbsp;<mo>,</mo>&nbsp;<mn>3</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>,</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>1</mn>&nbsp;<mo>,</mo>&nbsp;<mn>3</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo fence=""false"" stretchy=""false"">}</mo></math></p><p>Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;is</p>",
11240,ncert12maths,Relations and Functions,12,16-08-2021 4.48,16-08-2021 4.48,NCERT Exemplar,"<p>The identity element for the binary operation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>∗</mo>&nbsp;</math>defined on&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">Q</mi>&nbsp;</mrow><mo>∼</mo>&nbsp;<mo fence=""false"" stretchy=""false"">{</mo>&nbsp;<mn>0</mn>&nbsp;<mo fence=""false"" stretchy=""false"">}</mo>&nbsp;</math>as&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;<mo>∗</mo>&nbsp;<mi>b</mi>&nbsp;<mo>=</mo>&nbsp;<mfrac><mrow><mi>a</mi>&nbsp;<mi>b</mi>&nbsp;</mrow><mn>2</mn>&nbsp;</mfrac><mi mathvariant=""normal"">∀</mi>&nbsp;<mi>a</mi>&nbsp;<mo>,</mo>&nbsp;<mi>b</mi>&nbsp;<mo>∈</mo>&nbsp;<mrow><mi mathvariant=""normal"">Q</mi>&nbsp;</mrow><mo>∼</mo>&nbsp;<mo fence=""false"" stretchy=""false"">{</mo>&nbsp;<mn>0</mn>&nbsp;<mo fence=""false"" stretchy=""false"">}</mo>&nbsp;</math>is</p>",
11241,ncert12maths,Relations and Functions,12,16-08-2021 4.48,16-08-2021 4.48,NCERT Exemplar,"<p>Let us define a relation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;in&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;as&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;<mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow><mi>b</mi>&nbsp;</math>&nbsp;if&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi>&nbsp;<mo>≥</mo>&nbsp;<mi>b</mi>&nbsp;</math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;</mrow></math>&nbsp;is</p>",
11242,ncert12maths,Relations and Functions,12,16-08-2021 4.48,16-08-2021 4.48,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow><mo>=</mo>&nbsp;<mo fence=""false"" stretchy=""false"">{</mo>&nbsp;<mn>1</mn>&nbsp;<mo>,</mo>&nbsp;<mn>2</mn>&nbsp;<mo>,</mo>&nbsp;<mn>3</mn>&nbsp;<mo>,</mo>&nbsp;<mo>…</mo>&nbsp;<mi>n</mi>&nbsp;<mo fence=""false"" stretchy=""false"">}</mo>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">B</mi>&nbsp;</mrow><mo>=</mo>&nbsp;<mo fence=""false"" stretchy=""false"">{</mo>&nbsp;<mi>a</mi>&nbsp;<mo>,</mo>&nbsp;<mi>b</mi>&nbsp;<mo fence=""false"" stretchy=""false"">}</mo>&nbsp;</math>. Then the number of surjections from&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">A</mi>&nbsp;</mrow></math>into B is</p>",
11243,ncert12maths,Relations and Functions,12,16-08-2021 5.36,16-08-2021 5.36,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>3</mn>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>−</mo>&nbsp;<mn>5</mn>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>g</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>g</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mfrac><mi>x</mi>&nbsp;<mrow><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></mfrac></math><br>Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>g</mi>&nbsp;<mo>∘</mo>&nbsp;<mi>f</mi>&nbsp;</math>is</p>",
11244,ncert12maths,Relations and Functions,12,16-08-2021 5.36,16-08-2021 5.36,NCERT Exemplar,"<ol><li>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo>−</mo>&nbsp;<mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">{</mo>&nbsp;<mfrac><mn>3</mn>&nbsp;<mn>5</mn>&nbsp;</mfrac><mo data-mjx-texclass=""CLOSE"">}</mo>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mfrac><mrow><mn>3</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>2</mn>&nbsp;</mrow><mrow><mn>5</mn>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mn>3</mn>&nbsp;</mrow></mfrac></math>. Then</li></ol>",
11245,ncert12maths,Relations and Functions,12,16-08-2021 5.36,16-08-2021 5.36,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mfrac><mn>1</mn>&nbsp;<mi>x</mi>&nbsp;</mfrac><mi mathvariant=""normal"">∀</mi>&nbsp;<mi>x</mi>&nbsp;<mo>∈</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo>.</mo>&nbsp;</math>Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;</math>&nbsp;is</p>",
11246,ncert12maths,Relations and Functions,12,16-08-2021 5.36,16-08-2021 5.36,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be the functions defined by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>3</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>5</mn>&nbsp;</math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>f</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>is</p>",
11247,ncert12maths,Relations and Functions,12,16-08-2021 5.42,16-08-2021 5.42,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be given by&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mi>tan</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;</math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>f</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo stretchy=""false"">(</mo>&nbsp;<mn>1</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>&nbsp;is</p>",
11248,ncert12maths,Relations and Functions,12,16-08-2021 5.42,16-08-2021 5.42,NCERT Exemplar,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow><mo stretchy=""false"">→</mo>&nbsp;<mrow><mi mathvariant=""bold"">R</mi>&nbsp;</mrow></math>&nbsp;be defined by<br><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">{</mo>&nbsp;<mtable columnspacing=""1em"" rowspacing=""4pt""><mtr><mtd><mn>2</mn>&nbsp;<mi>x</mi>&nbsp;<mo>:</mo>&nbsp;<mi>x</mi>&nbsp;<mo>&gt;</mo>&nbsp;<mn>3</mn>&nbsp;</mtd></mtr><mtr><mtd><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>:</mo>&nbsp;<mn>1</mn>&nbsp;<mo>&lt;</mo>&nbsp;<mi>x</mi>&nbsp;<mo>≤</mo>&nbsp;<mn>3</mn>&nbsp;</mtd></mtr><mtr><mtd><mn>3</mn>&nbsp;<mi>x</mi>&nbsp;<mo>:</mo>&nbsp;<mi>x</mi>&nbsp;<mo>≤</mo>&nbsp;<mn>1</mn>&nbsp;</mtd></mtr></mtable><mo data-mjx-texclass=""CLOSE"" fence=""true"" stretchy=""true"" symmetric=""true"">&nbsp;</mo></mrow></math><br>Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mo>−</mo>&nbsp;<mn>1</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>+</mo>&nbsp;<mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>2</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>+</mo>&nbsp;<mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>4</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>&nbsp;is</p>",
11249,ncert12maths,Inverse Trigonometric Functions,12,16-08-2021 15.52,16-08-2021 15.52,NCERT Exemplar,"<p>Which of the following corresponds to the principal value branch of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>tan</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo>?</mo></math></p>",
